Year,US.Commercial,US.Recreational,US.Comm.discards,Canada,Other.Countries,Total
1960,1396,NA,NA,5957,0,7353
1961,1361,NA,NA,5459,11,6831
1962,938,NA,NA,6865,175,7978
1963,1320,NA,NA,6473,1299,9092
1964,1644,NA,NA,10960,801,13405
1965,1998,NA,NA,11590,2945,16533
1966,2724,NA,NA,12821,7951,23496
1967,3891,NA,NA,11243,19047,34181
1968,3929,NA,NA,26096,65747,95772
1969,4364,NA,NA,21247,114189,139800
1970,4049,NA,NA,19612,210864,234525
1971,2406,NA,NA,24279,355892,382577
1972,2006,NA,NA,26182,391464,419652
1973,1336,NA,NA,34513,396759,432608
1974,1042,NA,NA,42300,321837,365179
1975,1974,NA,NA,24772,271719,298465
1976,2712,NA,NA,25424,223275,251411
1977,1377,NA,NA,22510,56067,79954
1978,1605,NA,NA,25432,841,27878
1979,1990,NA,NA,30244,440,32674
1980,2683,NA,NA,22136,566,25385
1981,2941,2626,NA,19296,5361,30224
1982,3330,1877,NA,16378,6647,28232
1983,3805,2792,NA,19792,5955,32344
1984,5954,2716,NA,17331,15045,41046
1985,6632,4087,NA,29862,32409,72991
1986,9637,7660,NA,28469,26507,72273
1987,12310,7555,NA,27492,36564,83921
1988,12309,5420,NA,24051,42858,84638
1989,14556,2828,160,20853,36823,75221
1990,31261,3252,827,21789,30678,87808
1991,26961,3539,1098,25898,15714,73212
1992,11760,919,2072,26562,0,41314
1993,4661,1230,3902,26848,0,36642
1994,8917,2653,5409,20613,0,37592
1995,8468,1697,53,17688,0,27908
1996,15727,2465,2052,20357,0,40603
1997,15402,2857,228,21410,0,39898
1998,14524,1553,97,19185,0,35361
1999,12031,2831,770,16537,0,32171
2000,5648,3053,152,16079,0,24934
2001,12340,3299,718,24347,0,40705
2002,26529,2678,155,34606,0,63970
2003,34297,1870,264,44472,0,80904
2004,54990,1169,2140,53875,0,112175
2005,42208,1693,1082,54763,0,99749
2006,56640,3911,134,53506,0,114192
2007,25546,761,159,53223,0,79690
2008,21733,2730,747,29477,0,54689
2009,22634,1768,125,42204,0,66733
2010,9876,4287,96,38645,0,52907
2011,533,4039,37,11484,0,16095
2012,5332,2670,33,6841,0,14877
2013,4372,2405,19,8673,0,15471
2014,5905,2295,51,6678,0,14930
2015,5616,4274,13,4272,0,14176
2016,5687,4568,17,8045,0,18319
2017,6974,4161,82,9752,0,20971
2018,8717,2393,177,10907,0,22195
2019,5379,2116,199,8749,0,16445
2020,8150,2016,48,7947,0,18163
2021,5681,2222,61,4505,0,12470
2022,2027,1439,113,56,0,3636
